duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id
22,4,TV Show,Anupamaa,2020-08-16,2020,TV-PG,A selfless housewife rises above domestic struggles to reclaim her identity.,s1
22,3,TV Show,Ghum Hai Kisikey Pyaar Meiin,2021-03-15,2020,TV-14,A complex love triangle between Neel Pradhan, Tejaswani, and Ruturaj Acp Savi Thakar.,s2
22,10,TV Show,Bhabhi Ji Ghar Par Hai!,2019-05-23,2015,TV-PG,The hilarious attempts of two neighbors to impress each other's wives.,s3
22,2,TV Show,May I Come In Madam?,2023-01-10,2022,TV-PG,A quirky love story between an employee and his strict, beautiful boss.,s4
22,3,TV Show,Beyhadh,2021-11-05,2016,TV-14,A passionate but obsessive love story that turns into a dangerous obsession.,s5
22,5,TV Show,Yeh Rishta Kya Kehlata Hai,2021-02-12,2009,TV-PG,One of India's longest-running shows tracing the journey of a married couple.,s6
22,14,TV Show,Taarak Mehta Ka Ooltah Chashmah,2018-07-28,2008,TV-G,A comedy show about the lives of residents in a Mumbai housing society.,s7
45,2,TV Show,Naagin 6,2022-02-12,2022,TV-14,A supernatural thriller revolving around shape-shifting serpents seeking revenge.,s8
22,1,TV Show,Pyarr Ka Punchnama,2022-06-20,2022,TV-14,A comic take on the complexities and challenges of modern-day relationships.,s9
22,2,TV Show,Kyunki Saas Maa Bahu Beti Hoti Hai,2023-03-08,2023,TV-PG,A fresh perspective on the classic saas-bahu dynamic.,s10
45,1,TV Show,Junoon - Aisi Nafrat Toh Kaisa Ishq,2021-07-19,2021,TV-14,A story of intense love, hatred, and a quest for justice.,s11
22,8,TV Show,Kumkum Bhagya,2019-10-14,2014,TV-PG,The story of two sisters and their contrasting journeys in love and life.,s12
50,4,TV Show,Stranger Things,2019-07-04,2016,TV-14,A group of kids in the 80s face supernatural forces and government secrets.,s51
60,2,TV Show,The Last of Us,2023-01-15,2023,TV-MA,A hardened survivor takes a young girl across a post-apocalyptic USA.,s52
30,3,TV Show,Ted Lasso,2021-08-14,2020,TV-MA,An American coach brings his folksy optimism to a British football team.,s53
50,5,TV Show,Breaking Bad,2020-01-01,2008,TV-MA,A high school chemistry teacher turns to a life of crime.,s54
60,8,TV Show,Game of Thrones,2017-04-17,2011,TV-MA,Noble families fight for control of the mythical land of Westeros.,s55
60,4,TV Show,Mr. Robot,2018-12-13,2015,TV-MA,A cybersecurity engineer becomes involved in a secret hacker society.,s56
60,10,TV Show,American Horror Story,2019-10-09,2011,TV-MA,An anthology series centering on different horrifying tales.,s57
25,10,TV Show,Friends,2018-01-01,1994,TV-14,The personal and professional lives of six friends in Manhattan.,s58
60,8,TV Show,Homeland,2019-04-07,2011,TV-MA,A CIA officer becomes convinced a rescued POW is a threat to the USA.,s59
60,4,TV Show,Enola Holmes,2022-10-27,2020,TV-PG,Sherlock Holmes' teen sister embarks on her own detective adventures.,s60
50,1,TV Show,The Last of Us: Left Behind,2024-02-10,2023,TV-MA,Ellie's past and her relationship with Riley are explored.,s61
45,6,TV Show,Better Call Saul,2022-04-18,2015,TV-MA,The evolution of small-time lawyer Jimmy McGill into Saul Goodman.,s62
30,1,TV Show,Maniac,2018-09-21,2018,TV-MA,Two strangers undergo a mysterious pharmaceutical trial.,s63
60,1,TV Show,The Crown: A New Era,2023-11-12,2023,TV-MA,The reign of Queen Elizabeth II and the House of Windsor.,s64
60,2,TV Show,The Queen's Gambit,2020-10-23,2020,TV-MA,An orphaned chess prodigy struggles with addiction while mastering the game.,s65
60,3,TV Show,The Witcher,2021-12-17,2019,TV-MA,A solitary monster hunter struggles to find his place in a world.,s66
22,9,TV Show,The Office (US),2019-06-15,2005,TV-PG,The everyday lives of office employees at a paper company.,s67
60,8,TV Show,Game of Thrones: House of the Dragon,2022-08-21,2022,TV-MA,The history of the Targaryen civil war that took place 200 years ago.,s68
43,19,TV Show,Grey's Anatomy,2020-05-17,2005,TV-14,The personal and professional lives of surgical interns.,s69
45,7,TV Show,Sons of Anarchy,2018-11-11,2008,TV-MA,The lives of a close-knit outlaw motorcycle club in California.,s70